type,question,option_a,option_b,option_c,option_d
pilihan_ganda,"Siapakah presiden pertama Republik Indonesia?","Ir. Soekarno","Mohammad Hatta","Soeharto","Joko Widodo"
pilihan_ganda,"Berapakah hasil dari 8 dikali 7?","54","56","64","49"
pilihan_ganda,"Apa nama planet terdekat dari Matahari?","Venus","Bumi","Merkurius","Mars"
pilihan_ganda,"Ibu kota negara Indonesia adalah...","Bandung","Surabaya","Jakarta","Medan"
pilihan_ganda,"Hewan apa yang disebut sebagai raja hutan?","Harimau","Singa","Gajah","Buaya"
pilihan_ganda,"Siapakah pahlawan nasional yang dijuluki Bapak Pendidikan?","Ki Hajar Dewantara","R.A. Kartini","Jenderal Soedirman","Cut Nyak Dien"
pilihan_ganda,"Apa nama alat yang digunakan untuk mengukur suhu?","Termometer","Barometer","Hidrometer","Altimeter"
pilihan_ganda,"Berapa jumlah warna pada pelangi?","5","6","7","8"
pilihan_ganda,"Apa nama organisasi sepak bola dunia?","FIFA","UEFA","AFC","PSSI"
pilihan_ganda,"Siapakah penemu bola lampu?","Nikola Tesla","Thomas Alva Edison","Albert Einstein","Alexander Graham Bell"
isian,"Berapa jumlah provinsi di Indonesia?"
isian,"Sebutkan ibu kota Provinsi Jawa Timur!"
isian,"Berapakah hasil dari 15 ditambah 27?"
isian,"Apa nama samudra terluas di dunia?"
isian,"Sebutkan nama gunung tertinggi di Indonesia!"
isian,"Berapa jumlah planet di tata surya kita?"
isian,"Apa nama mata uang Jepang?"
isian,"Sebutkan nama pahlawan perempuan yang memperjuangkan emansipasi wanita!"
isian,"Berapakah 12 pangkat 2?"
isian,"Apa nama ibukota negara Malaysia?"
benar_salah,"Matahari terbit dari arah timur. Benar atau Salah?"
benar_salah,"Gunung Everest adalah gunung tertinggi di dunia. Benar atau Salah?"
benar_salah,"Air mendidih pada suhu 100 derajat Celsius. Benar atau Salah?"
benar_salah,"Katak dewasa bernapas menggunakan insang. Benar atau Salah?"
benar_salah,"Indonesia merdeka pada tahun 1945. Benar atau Salah?"
benar_salah,"Bumi berbentuk datar. Benar atau Salah?"
benar_salah,"1 kilometer sama dengan 1000 meter. Benar atau Salah?"
benar_salah,"Paus adalah jenis ikan. Benar atau Salah?"
benar_salah,"Bahasa Indonesia merupakan bahasa resmi di Indonesia. Benar atau Salah?"
benar_salah,"Planet Saturnus memiliki cincin. Benar atau Salah?"
